student_id,class_name,attend_full_class,absence_reason,difficult_to_follow,use_lecture_materials,study_suggestion,struggling_courses,dedicate_time,study_goal,study_2h_daily,follow_schedule,group_study_importance,training_feedback
DH52201276,D22CQCN01,Có,Công việc cá nhân,Không,Không,Hỗ trợ thêm tài liệu tham khảo,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Cần cập nhật công nghệ mới
DH52201777,D21CQCN01,Có,Lịch học quá dày đặc,Có,Có,Tăng số buổi học nhóm,Kỹ thuật lập trình,Có,Qua môn,Có,Có,Có,Cần cập nhật công nghệ mới
DH52201776,D22CQCN01,Không,Công việc cá nhân,Không,Không,Hỗ trợ thêm tài liệu tham khảo,Lập trình hướng đối tượng,Có,Nắm vững kiến thức,Có,Có,Có,Không có ý kiến
DH52201624,D22CQCN01,Có,Công việc cá nhân,Không,Không,Không có ý kiến,Khác,Có,Cải thiện điểm,Có,Có,Có,Không có ý kiến
DH52201683,D21CQCN01,Không,Khác (tự do),Có,Có,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Có,Qua môn,Có,Có,Có,Thiếu thực hành
DH52201694,D21CQCN01,Có,Lý do sức khỏe,Có,Có,Không có ý kiến,Kỹ thuật lập trình,Không,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52200911,D22CQCN01,Có,Công việc cá nhân,Có,Không,Cải thiện bài giảng,Khác,Có,Cải thiện điểm,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200755,D21CQCN02,Có,Công việc cá nhân,Có,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Qua môn,Có,Có,Có,Không có ý kiến
DH52200802,D22CQCN01,Có,Khác (tự do),Không,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52200498,D22CQCN01,Không,Khác (tự do),Có,Có,Hỗ trợ thêm tài liệu tham khảo,Nhập môn lập trình,Có,Nắm vững kiến thức,Không,Có,Có,Không có ý kiến
DH52200485,D22CQCN01,Có,Lý do sức khỏe,Không,Không,Cải thiện bài giảng,Nhập môn lập trình,Không,Nắm vững kiến thức,Không,Có,Có,Không có ý kiến
DH52200532,D22CQCN01,Có,Khác (tự do),Có,Không,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52200399,D21CQCN01,Có,Lịch học quá dày đặc,Không,Không,Không có ý kiến,Kỹ thuật lập trình,Có,Cải thiện điểm,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200320,D22CQCN01,Không,Khác (tự do),Không,Có,Không có ý kiến,Lập trình hướng đối tượng,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52200308,D21CQCN02,Có,Lịch học quá dày đặc,Không,Không,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Cải thiện điểm,Không,Có,Có,Thiếu thực hành
DH52200642,D21CQCN01,Không,Lý do sức khỏe,Không,Không,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Có,Qua môn,Có,Có,Có,Không có ý kiến
DH52200647,D21CQCN02,Có,Lý do sức khỏe,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Lập trình hướng đối tượng,Có,Cải thiện điểm,Có,Có,Không,Thiếu thực hành
DH52200979,D21CQCN02,Có,Lý do sức khỏe,Có,Không,Không có ý kiến,Lập trình hướng đối tượng,Có,Nắm vững kiến thức,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200982,D21CQCN02,Không,Lý do sức khỏe,Không,Có,Cải thiện bài giảng,Nhập môn lập trình,Có,Cải thiện điểm,Có,Có,Có,Thiếu thực hành
DH52201014,D21CQCN02,Có,Lý do sức khỏe,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Cấu trúc dữ liệu,Có,Qua môn,Không,Không,Có,Cần cập nhật công nghệ mới
DH52201163,D21CQCN01,Không,Lịch học quá dày đặc,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Khác,Có,Nắm vững kiến thức,Không,Có,Có,Cần cập nhật công nghệ mới
DH52201273,D21CQCN01,Có,Lịch học quá dày đặc,Có,Có,Tăng số buổi học nhóm,Lập trình hướng đối tượng,Có,Qua môn,Không,Có,Có,Không có ý kiến
DH52201266,D21CQCN02,Có,Lý do sức khỏe,Không,Có,Tăng số buổi học nhóm,Lập trình hướng đối tượng,Có,Qua môn,Không,Có,Có,Chương trình học phù hợp
DH52201333,D21CQCN02,Có,Khác (tự do),Không,Có,Cải thiện bài giảng,Kỹ thuật lập trình,Có,Qua môn,Có,Có,Có,Chương trình học phù hợp
DH52201374,D21CQCN01,Không,Công việc cá nhân,Có,Có,Hỗ trợ thêm tài liệu tham khảo,Khác,Không,Cải thiện điểm,Có,Có,Có,Không có ý kiến
DH52201405,D21CQCN01,Có,Lý do sức khỏe,Có,Không,Hỗ trợ thêm tài liệu tham khảo,Khác,Không,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52200661,D21CQCN01,Có,Khác (tự do),Không,Có,Tăng số buổi học nhóm,Lập trình hướng đối tượng,Không,Cải thiện điểm,Có,Không,Có,Không có ý kiến
DH52200302,D22CQCN01,Có,Công việc cá nhân,Không,Có,Hỗ trợ thêm tài liệu tham khảo,Nhập môn lập trình,Có,Qua môn,Không,Có,Có,Cần cập nhật công nghệ mới
DH52200450,D22CQCN01,Có,Lý do sức khỏe,Không,Có,Không có ý kiến,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52201479,D22CQCN01,Có,Lý do sức khỏe,Có,Không,Tăng số buổi học nhóm,Khác,Có,Nắm vững kiến thức,Không,Có,Có,Không có ý kiến
DH52201437,D21CQCN02,Có,Lịch học quá dày đặc,Không,Có,Cải thiện bài giảng,Lập trình hướng đối tượng,Có,Nắm vững kiến thức,Có,Có,Có,Thiếu thực hành
DH52201445,D22CQCN01,Có,Công việc cá nhân,Có,Có,Tăng số buổi học nhóm,Khác,Không,Qua môn,Có,Có,Có,Không có ý kiến
DH52201723,D21CQCN02,Không,Công việc cá nhân,Có,Không,Hỗ trợ thêm tài liệu tham khảo,Kỹ thuật lập trình,Có,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52200383,D21CQCN02,Không,Khác (tự do),Có,Có,Cải thiện bài giảng,Kỹ thuật lập trình,Có,Nắm vững kiến thức,Có,Có,Có,Không có ý kiến
DH52200410,D22CQCN01,Có,Lịch học quá dày đặc,Không,Có,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Không có ý kiến
DH52200421,D21CQCN02,Có,Lịch học quá dày đặc,Không,Có,Không có ý kiến,Lập trình hướng đối tượng,Có,Qua môn,Có,Có,Có,Chương trình học phù hợp
DH52200533,D22CQCN01,Có,Lịch học quá dày đặc,Không,Không,Không có ý kiến,Kỹ thuật lập trình,Có,Qua môn,Có,Có,Không,Cần cập nhật công nghệ mới
DH52200559,D22CQCN01,Có,Lịch học quá dày đặc,Có,Có,Tăng số buổi học nhóm,Cấu trúc dữ liệu,Có,Cải thiện điểm,Có,Có,Có,Cần cập nhật công nghệ mới
DH52200562,D21CQCN01,Có,Công việc cá nhân,Không,Không,Không có ý kiến,Cấu trúc dữ liệu,Có,Nắm vững kiến thức,Không,Có,Có,Chương trình học phù hợp
DH52200583,D22CQCN01,Có,Công việc cá nhân,Có,Có,Không có ý kiến,Khác,Có,Cải thiện điểm,Không,Có,Có,Không có ý kiến
DH52200505,D21CQCN01,Có,Lý do sức khỏe,Không,Không,Không có ý kiến,Khác,Có,Cải thiện điểm,Có,Có,Có,Chương trình học phù hợp
DH52200631,D22CQCN01,Không,Lý do sức khỏe,Không,Không,Cải thiện bài giảng,Cấu trúc dữ liệu,Có,Qua môn,Có,Có,Có,Cần cập nhật công nghệ mới
